loss,accuracy,val_loss,val_accuracy,time
2.3785955905914307,0.23169642686843872,2.25628662109375,0.2681547701358795,3.4628379344940186
1.982200026512146,0.3936011791229248,1.6857233047485352,0.519345223903656,4.223374605178833
1.3698965311050415,0.7524553537368774,1.0891515016555786,0.9148809313774109,4.889731407165527
0.8609078526496887,0.9456101059913635,0.6710029244422913,0.9764881134033203,5.634883642196655
0.532622754573822,0.9803571701049805,0.4240453839302063,0.9830357432365417,6.423542499542236
0.3445882201194763,0.9906250238418579,0.276042103767395,0.992559552192688,7.044079542160034
0.23017482459545135,0.9944940209388733,0.18761982023715973,0.9952380657196045,7.635371685028076
0.16011998057365417,0.996279776096344,0.13149064779281616,0.9961309432983398,8.181203603744507
0.11430289596319199,0.997247040271759,0.0931168720126152,0.9964285492897034,8.732054471969604
0.08264955133199692,0.9978422522544861,0.06915026903152466,0.9976190328598022,9.322930574417114
